name,day,period,credit,category,difficulty,is_required
AI융합개론,월,1,3,전공,3,TRUE
비판적사고와토론,수,2,2,교양,2,TRUE
파이썬프로그래밍,수,1,3,전공,5,FALSE
통계학,화,1,3,전공,4,FALSE
디지털리터러시,금,7,3,교양,2,TRUE
C++프로그래밍,목,7,3,전공,5,FALSE
컴퓨팅사고,월,1,2,교양,5,TRUE
인공지능수학,금,4,3,전공,5,FALSE
이산수학,금,1,3,전공,3,FALSE
IT개론-1,목,4,3,전공,5,FALSE
IT개론-2,목,7,3,전공,5,FALSE
자바 프로그래밍,목,4,3,전공,3,FALSE
인공지능수학,월,4,3,전공,5,FALSE
미적분과벡터해석기초,목,7,3,교양,2,FALSE
모바일 프로그래밍,금,7,3,전공,4,FALSE
자료구조 실습,수,4,3,전공,3,FALSE
기계학습,목,7,3,전공,2,FALSE
창조적 사고와 글쓰기,월,4,2,교양,3,True
AI서비스설계,화,7,3,전공,4,FALSE
IOT기본실습,목,7,3,전공,5,FALSE
마이크로콘트롤러응용실습,월,4,3,전공,5,FALSE
IOT네트워크,화,4,3,전공,3,FALSE
블록체인 경제와 디지털 자산혁명,금,4,3,교양,5,FALSE
과학기술 사회의 생명윤리,수,1,3,교양,3,FALSE
공동체 공유가치의 이해와 실천,수,1,3,교양,2,FALSE
문화예술 교육 개론,화,7,3,교양,1,FALSE
테마로 보는 전통문화,월,1,3,교양,5,FALSE
기초 수학,금,4,3,교양,1,FALSE
사회적 이슈의 찬반 논쟁,금,4,3,교양,3,FALSE
생활 속의 의학정보,금,4,3,교양,5,FALSE
컴퓨터구조,금,7,3,전공,4,FALSE
컴퓨터그래픽스,월,7,3,전공,2,FALSE
SW&AI 전공 진입을 위한 수학,금,4,3,교양,4,FALSE
AI와 서비스디자인,수,1,3,교양,1,FALSE
실습으로 배우는 머신러닝,월,1,3,교양,2,FALSE
AI시대 데이터 윤리,금,1,3,교양,4,FALSE
공통 스마트 IT기술의 현재와 미래,수,1,3,교양,3,FALSE
